task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
16	07/be6700	1571916	NFCORE_HLATYPING:HLATYPING:FASTQC (67B_CM+_T1)	COMPLETED	0	2023-06-21 12:48:57.806	7m	6m 56s	193.7%	1.1 GB	4.8 GB	7.4 GB	3.4 MB
46	ad/915f59	1578338	NFCORE_HLATYPING:HLATYPING:FASTQC (96RT_CM-_T1)	COMPLETED	0	2023-06-21 12:50:06.371	6m 56s	6m 51s	192.1%	1.1 GB	4.8 GB	7.1 GB	3.4 MB
44	50/dbec5a	1578470	NFCORE_HLATYPING:HLATYPING:FASTQC (96RT_CM+_T1)	COMPLETED	0	2023-06-21 12:50:07.228	6m 58s	6m 54s	192.1%	1.1 GB	4.8 GB	7.1 GB	3.4 MB
54	5e/8dda79	1592749	NFCORE_HLATYPING:HLATYPING:FASTQC (96RT_TISSUE_T1)	COMPLETED	0	2023-06-21 12:53:21.594	4m 44s	4m 40s	195.3%	1.1 GB	4.8 GB	4.9 GB	3.4 MB
12	a5/06d373	1606289	NFCORE_HLATYPING:HLATYPING:FASTQC (28RT_T2_T1)	COMPLETED	0	2023-06-21 12:55:57.628	5m 48s	5m 45s	195.5%	1.1 GB	4.8 GB	6.4 GB	3.4 MB
64	e5/370014	1599608	NFCORE_HLATYPING:HLATYPING:FASTQC (113B_PBMC_T1)	COMPLETED	0	2023-06-21 12:54:51.642	6m 58s	6m 55s	194.0%	1.1 GB	4.8 GB	7.6 GB	3.4 MB
56	df/6502dd	1611500	NFCORE_HLATYPING:HLATYPING:FASTQC (113B_CM+_T1)	COMPLETED	0	2023-06-21 12:57:02.635	5m 51s	5m 48s	195.4%	1 GB	4.6 GB	6.2 GB	3.4 MB
52	3d/59855c	1604326	NFCORE_HLATYPING:HLATYPING:FASTQC (96RT_PBMC_T1)	COMPLETED	0	2023-06-21 12:55:41.849	7m 23s	7m 20s	193.1%	1.1 GB	4.9 GB	7.9 GB	3.4 MB
15	2c/f72b05	1612194	NFCORE_HLATYPING:HLATYPING:FASTQC (67_PBMC_T1)	COMPLETED	0	2023-06-21 12:57:04.950	6m 15s	6m 12s	189.8%	1.1 GB	4.7 GB	6.2 GB	3.4 MB
50	d8/274cde	1617567	NFCORE_HLATYPING:HLATYPING:FASTQC (96RT_T2_T1)	COMPLETED	0	2023-06-21 12:58:05.274	6m 3s	5m 59s	191.9%	1.1 GB	4.8 GB	6.2 GB	3.4 MB
8	20/a948bf	1632877	NFCORE_HLATYPING:HLATYPING:FASTQC (28RT_CM-_T1)	COMPLETED	0	2023-06-21 13:01:46.093	7m 20s	7m 15s	189.7%	1.1 GB	4.8 GB	7.3 GB	3.4 MB
37	72/cbf9bb	1639241	NFCORE_HLATYPING:HLATYPING:FASTQC (81B_T1_T1)	COMPLETED	0	2023-06-21 13:02:53.933	6m 16s	6m 13s	194.5%	1 GB	4.7 GB	6.6 GB	3.4 MB
60	60/fec645	1633752	NFCORE_HLATYPING:HLATYPING:FASTQC (113B_T1_T1)	COMPLETED	0	2023-06-21 13:01:49.952	7m 32s	7m 28s	193.5%	1 GB	4.9 GB	8 GB	3.4 MB
32	e5/9f09e1	1642955	NFCORE_HLATYPING:HLATYPING:FASTQC (67_RT_T2_T1)	COMPLETED	0	2023-06-21 13:03:20.105	6m 8s	6m 5s	194.4%	1.1 GB	4.8 GB	6.7 GB	3.4 MB
42	7b/842229	1641060	NFCORE_HLATYPING:HLATYPING:FASTQC (81B_PBMC_T1)	COMPLETED	0	2023-06-21 13:03:05.292	6m 54s	6m 51s	192.9%	1 GB	4.5 GB	7.6 GB	3.4 MB
